frame,total,visibility,gbuffer,lighting,tonemap,index_count
3120,1.55331,0.56054,0.30415,0.59142,0.07464,5501800.80000
3130,1.55508,0.56102,0.30468,0.59153,0.07501,5422501.80000
3140,1.54933,0.55292,0.30719,0.59186,0.07488,5381229.00000
3150,1.53918,0.54353,0.30646,0.59159,0.07525,5279326.50000
3160,1.52895,0.53427,0.30523,0.59192,0.07512,5234319.60000
3170,1.52677,0.53361,0.30414,0.59162,0.07511,5154321.00000
3180,1.52771,0.53473,0.30405,0.59179,0.07487,5149010.40000
3190,1.52757,0.53485,0.30362,0.59152,0.07483,5136630.00000
3200,1.51809,0.52644,0.30317,0.59161,0.07494,5036211.00000
3210,1.50755,0.51368,0.30480,0.59182,0.07482,4856564.40000
3220,1.51153,0.51697,0.30521,0.59183,0.07515,4841081.10000
3230,1.50003,0.50382,0.30707,0.59180,0.07515,4635634.80000
3240,1.50171,0.50468,0.30793,0.59202,0.07502,4573846.20000
3250,1.49981,0.50476,0.30551,0.59186,0.07540,4548729.00000
3260,1.48717,0.49519,0.30314,0.59160,0.07508,4391545.50000
3270,1.48470,0.49384,0.30210,0.59158,0.07497,4335628.80000
3280,1.48041,0.48885,0.30274,0.59219,0.07484,4159528.50000
3290,1.47616,0.48242,0.30448,0.59192,0.07506,4121853.00000
3300,1.47189,0.47963,0.30317,0.59228,0.07484,4056366.00000
3310,1.46874,0.47618,0.30364,0.59222,0.07469,4008524.10000
3320,1.46320,0.47106,0.30338,0.59226,0.07479,3942121.80000
3330,1.46054,0.46808,0.30310,0.59240,0.07492,3904738.20000
3340,1.45379,0.46216,0.30249,0.59215,0.07480,3836305.20000
3350,1.44772,0.45773,0.30158,0.59213,0.07473,3762570.30000
3360,1.44359,0.45216,0.30321,0.59190,0.07488,3733896.00000
3370,1.43368,0.44533,0.30033,0.59178,0.07499,3681282.30000
3380,1.42956,0.44508,0.29708,0.59152,0.07498,3576873.00000
3390,1.42754,0.44330,0.29586,0.59225,0.07520,3430349.40000
3400,1.41836,0.43706,0.29208,0.59222,0.07503,3324306.60000
3410,1.40435,0.42498,0.29142,0.59207,0.07537,3184923.60000
3420,1.39878,0.42075,0.29038,0.59174,0.07549,3145787.40000
3430,1.39570,0.41866,0.28966,0.59193,0.07540,3127945.80000
3440,1.39844,0.42015,0.29057,0.59196,0.07507,3117535.20000
3450,1.39615,0.41961,0.28925,0.59197,0.07489,3091011.60000
3460,1.39309,0.41943,0.28699,0.59164,0.07492,3017008.50000
